geonum,non_white_nh_index,pop
1080050803004.0,4.222531965608484,549.0
1080050068154.0,4.001214054057404,382.0
1080050071071.0,2.504092115660143,6582.0
1080130125083.0,2.9860551900505246,1028.0
1080310119024.0,3.2678968800689594,1676.0
1080310041035.0,5.475324297383699,991.0
1080310068093.0,2.5451872363312984,1131.0
1080310013011.0,2.598845346546029,892.0
1080310023002.0,3.0763571614776097,1416.0
1080310050011.0,2.6266430034434576,1576.0
1080050826001.0,5.413724343544944,1534.0
1080050871002.0,2.990617467545914,1529.0
1080050872002.0,2.8335650783546376,1380.0
1080050804003.0,3.8568455369129837,928.0
1080050810001.0,6.931522697538428,1516.0
1080050811003.0,3.457315578746004,2391.0
1080050859001.0,3.073151280098345,3266.0
1080050072012.0,4.41484651675024,2611.0
1080410053003.0,2.6365765438344373,2715.0
1080410051051.0,3.414808181270822,3495.0
1080310044043.0,6.42761722424394,2374.0
1080310083911.0,3.138430154228119,3957.0
1080050833002.0,2.848285408136599,1829.0
1080050834003.0,4.959948636210736,2039.0
1080050844001.0,3.841101937326516,1469.0
1080050873005.0,4.964975220837782,1157.0
1080050821002.0,3.736127279531705,2891.0
1080050869002.0,4.732426703049173,1736.0
1080050845001.0,3.5124348819966906,1378.0
1080050803003.0,3.5835374153683865,2321.0
1080410029001.0,5.2844748929306045,1263.0
1080410044031.0,3.186352580250227,1551.0
1080310041043.0,4.963202429678362,1006.0
1080310083891.0,7.901267961309361,1151.0
1080050819004.0,9.807158211394501,1578.0
1080410059005.0,3.8678402522554904,1146.0
1080410045034.0,2.9793060830028164,6229.0
1080410051111.0,3.052444465514651,1932.0
1080410064003.0,3.953473243900524,799.0
1080410045082.0,3.4193287879586793,3211.0
1080410028004.0,3.669526111242883,420.0
1080410063011.0,4.657571471157247,1567.0
1080310083893.0,4.359112692429926,6703.0
1080010078021.0,5.009746285420716,1556.0
1080050851003.0,3.8298741052175314,2777.0
1080050868001.0,7.2991994916060605,2012.0
1080050068563.0,3.2472996837916916,3993.0
1080050811002.0,6.978358518215541,1128.0
1080050812002.0,3.5036418765614403,1745.0
1080050818003.0,5.137208285870227,1324.0
1080410041004.0,3.544901574763909,1042.0
1080590098281.0,4.248331058314009,1634.0
1080310036023.0,3.153469508855892,723.0
1080310041021.0,3.5324495986576117,1500.0
1080050076003.0,3.209600422250133,881.0
1080050848002.0,3.0951276254654525,1107.0
1080050077033.0,4.036314794464056,2960.0
1080130126051.0,3.9233885601643137,461.0
1080350140102.0,3.294914504973361,1353.0
1080310070881.0,3.7648152478475105,1492.0
1080310083871.0,2.5722963581408953,3382.0
1080310068101.0,2.6622832035910635,976.0
1080050859002.0,3.07800649226635,2127.0
1080050816003.0,2.518745050549527,1598.0
1080050862001.0,2.556832058713863,2441.0
1080870005002.0,3.6607650755319265,675.0
1080310083063.0,4.260297811417039,1166.0
1080310083062.0,5.9159548070334695,1815.0
1080310019011.0,4.252264587141467,650.0
1080050857004.0,3.2614278800488665,1156.0
1080050838003.0,4.098603340026623,808.0
1080050829001.0,4.322772195162488,1488.0
1080050073024.0,6.755237923681909,873.0
1080050805001.0,3.2443279613678517,2281.0
1080050812003.0,6.758513262737779,1176.0
1080410065023.0,6.100160835988311,1637.0
1080590102113.0,3.1242183950391618,1113.0
1080839694002.0,4.870898839006215,944.0
1080310024032.0,3.1456238153726592,1235.0
